brand_name,secondary_category,review_count,avg_sentiment,avg_rating,rec_pct,neg_pct,brand_health_score
BeautyBio,Treatments,228,0.7522,4.417,89.0,4.82,0.8763
KORA Organics,Moisturizers,2532,0.7919,4.475,86.3,4.54,0.8758
OLEHENRIKSEN,Eye Care,1765,0.786,4.35,88.2,4.42,0.8745
Saint Jane Beauty,Treatments,511,0.7367,4.505,87.9,5.48,0.8744
KORRES,Cleansers,4180,0.8039,4.566,83.9,2.97,0.8743
SEPHORA COLLECTION,Moisturizers,1111,0.7561,4.449,87.8,5.49,0.8743
innisfree,Sunscreen,1464,0.6773,4.538,89.8,7.92,0.8736
TULA Skincare,Sunscreen,259,0.7618,4.409,88.0,4.63,0.8735
iNNBEAUTY PROJECT,Treatments,1324,0.7091,4.498,88.9,7.02,0.8733
Paula's Choice,Moisturizers,553,0.7253,4.468,88.6,6.51,0.8731
La Mer,Treatments,766,0.7631,4.473,86.7,5.35,0.8723
Dr. Lara Devgan Scientific Beauty,Lip Balms & Treatments,514,0.6762,4.57,88.9,7.0,0.8721
GUERLAIN,Cleansers,834,0.8054,4.257,87.9,2.52,0.871
Dior,Eye Care,1198,0.7958,4.332,86.9,3.59,0.8701
Estée Lauder,Eye Care,1824,0.7354,4.346,89.3,4.22,0.87
Dior,Treatments,812,0.7476,4.395,87.9,4.43,0.8698
Freck Beauty,Moisturizers,223,0.7647,4.381,87.0,5.38,0.8681
Youth To The People,Treatments,1772,0.7188,4.457,87.8,6.15,0.8679
Herbivore,Eye Care,325,0.7338,4.434,87.4,6.46,0.8676
belif,Lip Balms & Treatments,1964,0.7135,4.407,88.4,4.94,0.8664
KORA Organics,Treatments,942,0.7651,4.325,87.4,5.2,0.8662
Skinfix,Eye Care,1208,0.7342,4.426,87.1,6.79,0.866
IT Cosmetics,Treatments,881,0.7313,4.326,88.8,4.31,0.8659
Biossance,Treatments,2338,0.7264,4.403,87.5,5.99,0.8649
